00-UBP1
00-UBP10
00-UBP11
00-UBP12
00-UBP13
00-UBP14
00-UBP15
00-UBP16
00-UBP17
00-UBP2
00-UBP3
00-UBP4
00-UBP5
00-UBP6
00-UBP7
00-UBP8
00-UBP9
ACID1
ACID2
ACTI1
ACTI10
ACTI11
ACTI12
ACTI13
ACTI14
ACTI15
ACTI16
ACTI17
ACTI2
ACTI3
ACTI4
ACTI5
ACTI6
ACTI7
ACTI8
ACTI9
AMIN1
AQUI1
AQUI2
ARMA1
BACT1
BACT10
BACT11
BACT12
BACT13
BACT14
BACT15
BACT16
BACT17
BACT18
BACT19
BACT2
BACT3
BACT4
BACT5
BACT6
BACT7
BACT8
BACT9
BCHL1
CHLA1
CHLA2
CHLAV1
CHLO1
CHLO2
CHLO3
CHLO4
CHLO5
CHLO6
CHRY1
CP1
CP2
CP3
CPR21
CPR22
CPR23
CPRBERK1
CPRBERK2
CPRBERK3
CPRBERK4
CPRBERK5
CPRBERK6
CPRBERK7
CPRBERK8
CPRBERK9
CPRCPR1
CPRCPR2
CPRCPR3
CPRDOJK1
CPRDOJK2
CPRDOJK3
CPRKAZA1
CPRKAZA2
CPRKAZA3
CPRMICR1
CPRMICR10
CPRMICR11
CPRMICR12
CPRMICR13
CPRMICR14
CPRMICR15
CPRMICR16
CPRMICR17
CPRMICR18
CPRMICR19
CPRMICR2
CPRMICR20
CPRMICR21
CPRMICR22
CPRMICR23
CPRMICR24
CPRMICR25
CPRMICR26
CPRMICR27
CPRMICR28
CPRMICR29
CPRMICR3
CPRMICR30
CPRMICR31
CPRMICR32
CPRMICR33
CPRMICR34
CPRMICR4
CPRMICR5
CPRMICR6
CPRMICR7
CPRMICR8
CPRMICR9
CPRPARC1
CPRPARC10
CPRPARC11
CPRPARC12
CPRPARC13
CPRPARC14
CPRPARC15
CPRPARC16
CPRPARC17
CPRPARC18
CPRPARC19
CPRPARC2
CPRPARC20
CPRPARC21
CPRPARC22
CPRPARC23
CPRPARC24
CPRPARC25
CPRPARC26
CPRPARC27
CPRPARC28
CPRPARC29
CPRPARC3
CPRPARC30
CPRPARC31
CPRPARC32
CPRPARC33
CPRPARC34
CPRPARC35
CPRPARC36
CPRPARC37
CPRPARC38
CPRPARC39
CPRPARC4
CPRPARC40
CPRPARC41
CPRPARC42
CPRPARC43
CPRPARC44
CPRPARC45
CPRPARC46
CPRPARC47
CPRPARC48
CPRPARC49
CPRPARC5
CPRPARC50
CPRPARC51
CPRPARC52
CPRPARC53
CPRPARC6
CPRPARC7
CPRPARC8
CPRPARC9
CPRPER1
CPRPER2
CPRPER3
CPRPER4
CPRPER5
CPRPER6
CPRSACC1
CPRSACC2
CPRSACC3
CPRUNC1
CPRUNC2
CPRWWE31
CPRWWE32
CPRWWE33
CPRWWE34
CPRWWE35
CPRWWE36
CPRWWE37
CYAN1
CYAN2
CYAN3
CYAN4
CYAN5
CYAN6
CYAN7
DEFE1
DEIN1
DEIN2
ELUS1
ELUS2
ELUS3
ELUS4
ELUS5
FIBR1
FIBR2
FIBR3
FIRM1
FIRM10
FIRM11
FIRM12
FIRM13
FIRM14
FIRM15
FIRM16
FIRM17
FIRM18
FIRM19
FIRM2
FIRM20
FIRM21
FIRM22
FIRM23
FIRM3
FIRM4
FIRM5
FIRM6
FIRM7
FIRM8
FIRM9
FUSO1
FUSO2
GEMA1
GEMM1
GN021
GN022
IGNA1
IGNA2
LENT1
LENT2
MARG1
MELA1
MELA2
MELA3
MODU1
NITRN1
NITRN2
NITRR1
NITRR2
NITRR3
OMNI1
OMNI2
OMNI3
PLAN1
PLAN2
PLAN3
PROA1
PROA10
PROA11
PROA12
PROA13
PROA14
PROA15
PROA16
PROA17
PROA18
PROA19
PROA2
PROA20
PROA21
PROA3
PROA4
PROA5
PROA6
PROA7
PROA8
PROA9
PROB1
PROB10
PROB2
PROB3
PROB4
PROB5
PROB6
PROB7
PROB8
PROB9
PROD1
PROD2
PROD3
PROD4
PROD5
PROD6
PROE1
PROE2
PROG1
PROG10
PROG11
PROG12
PROG13
PROG14
PROG15
PROG16
PROG17
PROG18
PROG2
PROG3
PROG4
PROG5
PROG6
PROG7
PROG8
PROG9
PROZ1
PROZ2
SM2F11
SPIR1
SPIR2
SPIR3
SPIR4
SYNE1
SYNE2
TENE1
TENE2
THER1
THER2
THERSUL1
UNC1
WIRT
WOR1
WOR2
WOR3
ZIXI1
ACID1
ACTI1
ACTI7
ACTI12
AQUI1
BACT1
BACT9
BACT18
BCHL1
CHLA1
CHLAV1
CHLO1
CHRY1
CYAN4
DEFE1
DEIN1
ELUS1
FIBR1
FIRM1
FIRM9
FIRM10
FIRM22
MELA2
OMNI1
PLAN1
PROA2
PROA5
PROA12
PROA20
PROB1
PROB10
PROD2
PROE2
PROG1
PROG7
PROG15
PROZ1
SPIR1
TENE1
THER2
1133849
123214
290317
452637
552811
653733
179408
768670
526227
515635
471821
234267
768706
526218
1162668
756272
137722
266265
706587
572480
349521
573825
891968
667014
126740
671143
525904
