genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0091,0.0018,479.18,1.34395135109465,0.1158634563,21.3,3,9.06497938269114
p0092,2.34E-09,703.44,10.8212233592754,2.2385E-06,34.4,10.5,7.22741295531815
p0093,6.06E-36,2397.8,1.44289889100067,2.3829E-06,42.8,12,2.05260342103856
p0094,0.556,18.044,1.47577839192913,0.0308561534,16.7,2.9,2.26521124018412
p0095,3.51E-09,1294,1.0820387573302,0.0177673041,49.3,12.8,1.6008286563162
p0096,0.000191,1540.9,1.13811243795659,2.7776E-06,41.5,9.4,1.77643406764687
p0097,0.521,3.0047,0.986852370850078,0.0049858434,23.7,3.2,1.20439796257688
p0098,0.0123,215.61,1.48352959815424,0.0137136089,29.8,5,1.52942913582449
p0100,0.201,69.542,1.66849756236226,1.088740978,11.4,4.6,2.11839688727672
p0101,0.00445,354.1,1.15152304881297,2.8353E-06,47.8,7.6,3.4922910759044
p0102,0.302,78.553,1.70555787030559,0.0058884123,29.5,5.8,2.08557467883377
p0105,3.18E-07,1196.8,1.37449608737148,2.2685E-06,38.3,11.6,2.3709286502852
p0106,2.73E-08,645,1.29996657049101,2.4039E-06,33.9,7.9,1.32440244220401
p0107,0.000132,645.97,1.19955408203155,0.0065797644,34.6,8,1.32417799961606
p0108,5.39E-05,548.08,1.80979756122105,2.3248E-06,30.9,6,6.63681531285054
p0109,0.127,167.25,1.27049870313037,0.034077366,17.5,3.7,1.4593822229297
p0110,0.415,29.117,6.90789490504375,2.351842887,21.5,4.2,2.52812429499036
p0114,0.000659,1193.2,1.1126977420359,0.0032286399,52.2,12,1.68380184949704
p0115,1.98E-35,1291.6,1.10562671884942,2.4436E-06,54.8,13.4,2.27507475361948
p0117,3.63E-05,566.55,1.23260310716777,0.00889287,29.1,6.2,6.85881582352129
p0120,2.5E-37,984.24,1.15351534561612,2.1572E-06,37.7,11,1.33864409690437
p0121,0.426,30.253,1.47783560333447,2.3815E-06,30.9,6.5,1.06024840708804
p0122,2.07E-73,1925.8,1.16434772762363,2.9378E-06,37.2,13.9,2.07549690418141
p0123,0.303,71.013,3.36578584534864,1.205606744,21.7,3.6,1.40562735431579
p0124,0.531,2.224,3.95812073783088,2.6752E-06,15.2,5.4,1.2917529438837
p0126,1.67E-08,731.71,1.44489854339632,0.0109201222,37.1,8.1,10.9691786580841
p0128,0.0636,197.15,2.10173925864766,0.0056683419,30,5.1,1.59450123155701
p0129,2.01E-05,851.6,3.25641705354183,2.3703E-06,34.4,13.1,1.53814995544401
p0130,1.56E-07,726.94,2.03608198699137,2.3729E-06,25,6.1,1.60501655370489
p0131,1.01E-10,1863.7,1.06424127412071,2.0492E-06,66.5,17.4,3.00515419950156
p0132,0.00022,561.98,2.37333577385333,2.2349E-06,25.2,5.4,1.65415463308417
p0134,8.53E-09,2400.6,1.26156000422047,2.285E-06,59.4,16.5,2.42668606854239
p0135,9.60999999999999E-83,1521.2,1.32242993587551,2.0757E-06,39,15.3,1.93631304632958
p0136,9.44E-05,964.33,1.58568288286635,2.3626E-06,57.7,13.8,1.76415942428505
p0138,0.757,68.512,1.94289870390057,0.4192310999,20.1,3.1,1.44697527020352
p0139,0.00189,2547.2,1.31499927567317,2.3649E-06,35.8,10.3,2.61539860440633
p0140,0.007,274.51,1.49712250514436,2.9663E-06,23.8,6.2,2.37394785657263
p0141,0.169,101,1.9010908884124,0.024883522,30.3,3.3,1.09981288473877
p0142,0.125,168.77,1.17433619072251,2.8097E-06,21.7,4.6,1.41868356823333
p0143,4.18E-72,890.72,1.12183197908934,0.0143144283,35.1,9.3,1.45505116154583
p0145,0.283,39.286,2.76962085338064,0.0278246285,13.9,4.3,1.13249442546786
p0147,5.67E-87,879.86,1.17831965533371,2.0083E-06,48.4,8.2,1.30424683175087
p0148,3.79E-05,594.41,1.14041999320529,0.0010940506,42.5,11.1,1.81716126632285
p0149,3.86E-08,4329.8,1.02720883221194,2.7035E-06,66,13.9,5.16706098492667
p0150,0.000323,285.25,1.41493438068579,2.2121E-06,17.8,4.7,1.90506691524735
p0151,3.43E-09,750.45,1.71628154777272,2.8689E-06,53.9,10.9,6.71818497491196
