G000006175
G000007005
G000007185
G000007225
G000007305
G000007345
G000008265
G000008645
G000008665
G000009185
G000009965
G000011005
G000011105
G000011125
G000011185
G000011205
G000012285
G000012545
G000013445
G000013725
G000014945
G000015145
G000015205
G000015225
G000015765
G000015805
G000015825
G000015945
G000016385
G000016525
G000016605
G000017165
G000017185
G000017225
G000017625
G000017945
G000018305
G000018365
G000018465
G000018485
G000019605
G000019805
G000020905
G000021965
G000022205
G000022365
G000022385
G000022405
G000022425
G000022445
G000022465
G000022485
G000022545
G000023945
G000023965
G000023985
G000024185
G000024305
G000024625
G000024745
G000025285
G000025325
G000025505
G000025525
G000025625
G000025665
G000025685
G000025865
G000026045
G000063445
G000069025
G000091665
G000092185
G000092305
G000092465
G000144915
G000145295
G000145985
G000147875
G000148385
G000151105
G000151205
G000152265
G000166095
G000172995
G000175555
G000179575
G000186365
G000189555
G000189575
G000190095
G000190135
G000190155
G000190315
G000191585
G000193375
G000194625
G000195895
G000195915
G000195935
G000196655
G000196895
G000200715
G000204415
G000204585
G000204925
G000211475
G000213215
G000214415
G000214725
G000215995
G000217715
G000217995
G000220175
G000220645
G000221185
G000223395
G000223905
G000224475
G000230715
G000230735
G000230955
G000231015
G000234805
G000235565
G000235685
G000237865
G000241145
G000242875
G000243255
G000243315
G000243455
G000245095
G000245115
G000245135
G000245155
G000245175
G000245195
G000245215
G000245235
G000245255
G000245275
G000246735
G000246985
G000247545
G000251105
G000253055
G000258425
G000258515
G000263735
G000264495
G000265525
G000270325
G000275605
G000275865
G000283335
G000299365
G000299395
G000300255
G000302455
G000303155
G000304355
G000306725
G000306765
G000308215
G000309865
G000317795
G000327485
G000327505
G000328665
G000328685
G000328945
G000334895
G000336655
G000336675
G000336695
G000336715
G000336755
G000336875
G000336915
G000336935
G000336995
G000337035
G000337095
G000337195
G000337215
G000337275
G000337355
G000337375
G000337415
G000337455
G000337475
G000337515
G000337555
G000337575
G000337675
G000337695
G000337715
G000337735
G000337755
G000337775
G000337815
G000337895
G000338775
G000340315
G000341715
G000350305
G000363885
G000364745
G000371805
G000375685
G000376445
G000376965
G000380705
G000383975
G000385565
G000389735
G000398765
G000399765
G000399825
G000402075
G000402095
G000402355
G000403645
G000404165
G000404225
G000405685
G000405885
G000415945
G000415965
G000415985
G000416005
G000416025
G000416045
G000416085
G000427685
G000430485
G000430905
G000437055
G000437835
G000446015
G000447225
G000447865
G000455345
G000455365
G000470655
G000474235
G000484935
G000484975
G000494205
G000495475
G000495675
G000495695
G000495715
G000495735
G000496135
G000496175
G000496195
G000496215
G000496235
G000499765
G000504205
G000513315
G000513855
G000517445
G000517625
G000565255
G000585495
G000591035
G000591055
G000621965
G000632495
G000685155
G000685395
G000691505
G000691865
G000698785
G000710615
G000711215
G000711905
G000722915
G000723185
G000724145
G000725425
G000730285
G000731985
G000734035
G000739065
G000739555
G000739575
G000739595
G000744455
G000745485
G000746205
G000746745
G000746765
G000747605
G000755225
G000755245
G000762265
G000765475
G000769655
G000784335
G000784355
G000789255
G000800805
G000802205
G000812185
G000813245
G000816105
G000824705
G000828575
G000830275
G000830295
G000875775
G000949015
G000953115
G000955905
G000956175
G000960885
G000961135
G000965745
G000966265
G000968355
G000968395
G000968435
G000969885
G000969905
G000969925
G000969945
G000969965
G000969985
G000970005
G000970025
G000970045
G000970065
G000970085
G000970125
G000970145
G000970165
G000970185
G000970205
G000970245
G000970265
G000970285
G000970305
G000970325
G000978935
G000978945
G000978955
G000979015
G000979095
G000979105
G000979125
