C60 Categories,Category frequencies,Matrix,Warning from IQ-TREE
59,0.007,Borowiec2015_Total1080,The mixture model might be overfitting because some mixture weights are estimated close to zero
60,0.009,Borowiec2015_Total1080,The mixture model might be overfitting because some mixture weights are estimated close to zero
1,0,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
2,0.015,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
3,0.038,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
4,0.031,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
5,0.011,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
6,0.008,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
7,0.004,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
8,0.009,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
9,0.014,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
10,0,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
11,0.004,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
12,0.055,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
13,0.009,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
14,0.014,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
15,0.015,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
16,0.001,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
17,0.006,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
18,0.005,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
19,0.024,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
20,0.016,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
21,0.016,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
22,0.003,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
23,0.012,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
24,0.012,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
25,0.012,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
26,0.033,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
27,0.004,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
28,0.022,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
29,0.014,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
30,0.011,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
31,0.012,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
32,0.021,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
33,0.011,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
34,0.007,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
35,0.08,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
36,0.035,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
37,0.05,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
38,0.032,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
39,0.009,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
40,0.011,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
41,0.027,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
42,0.011,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
43,0.007,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
44,0.07,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
