study	original_name	new_name
Chang2015	Hydra_magnipapillata	Hydra_vulgaris_01
Dunn2008	Hydra_magnipapillata	Hydra_vulgaris_01
Hejnol2009	Hydra_magnipapillata	Hydra_vulgaris_01
Ryan2013	Hydra_magnipapillata	Hydra_vulgaris_01
Simion2017	Hydra_magnipapillata	Hydra_vulgaris_01
Moroz2014	HECH	Hydractinia_echinata
Moroz2014	Hydractinia	Hydractinia_echinata
Nosenko2013	Hydract_ec	Hydractinia_echinata
Borowiec2015	Ixodes	Ixodes_scapularis
Moroz2014	ISCA	Ixodes_scapularis
Nosenko2013	Ixodes_sca	Ixodes_scapularis
Borowiec2015	Latimeria	Latimeria_chalumnae
Moroz2014	LCHA	Leucetta_chagosensis
Moroz2014	Leucetta	Leucetta_chagosensis
Nosenko2013	Leucett_ch	Leucetta_chagosensis
Nosenko2013	Leucoso_sp	Leucosolenia_sp
Borowiec2015	Lottia	Lottia_gigantea
Moroz2014	LGIG	Lottia_gigantea
Simion2017	Lottia_gig	Lottia_gigantea
Nosenko2013	Lubomir_ba	Lubomirskia_baicalensis
Nosenko2013	Mertens_sp	Mertensiid_sp
Philippe2009	mertensiid_sp__________________________________________________________________	Mertensiid_sp
Simion2017	Mertensiid	Mertensiid_sp
Moroz2014	MERT	Mertensiidae_sp
Nosenko2013	Metridi_se	Metridium_senile
Simion2017	Salpingoeca_roanoka_13	Microstomoeca_roanoka
Chang2015	Ministeria_vibrans_atcc50519	Ministeria_vibrans
Borowiec2015	Mnemiopsis	Mnemiopsis_leidyi
Moroz2014	MLEI	Mnemiopsis_leidyi
Moroz2014	Mnemiopsis	Mnemiopsis_leidyi
Nosenko2013	Mnemiop_le	Mnemiopsis_leidyi
Nosenko2013	Molgula_te	Molgula_tectiformis
Borowiec2015	Monosiga	Monosiga_brevicollis
Chang2015	Monosiga_brevicollis_mx1	Monosiga_brevicollis
Moroz2014	MBRE	Monosiga_brevicollis
Nosenko2013	Monosig_br	Monosiga_brevicollis
Simion2017	Monosiga_brevicollis_mx1	Monosiga_brevicollis
Whelan2017	Monosiga_brevicolis	Monosiga_brevicollis
Moroz2014	MOVA	Monosiga_ovata
Nosenko2013	Monosig_ov	Monosiga_ovata
Simion2017	Monosiga_o	Monosiga_ovata
Nosenko2013	Montast_fa	Montastraea_faveolata
Simion2017	Mortierell	Mortierella
Whelan2017	Mycale_phylophylla	Mycale_phyllophila
Simion2017	Nanomia_bi	Nanomia_bijuga
Nosenko2013	Nasonia_vi	Nasonia_vitripennis
Borowiec2015	Nematostella	Nematostella_vectensis
Moroz2014	NVEC	Nematostella_vectensis
Nosenko2013	Nematos_ve	Nematostella_vectensis
Simion2017	Nematostel	Nematostella_vectensis
Borowiec2015	Oikopleura	Oikopleura_dioica
Moroz2014	OMIN	Oopsacas_minuta
Moroz2014	Oopsacas	Oopsacas_minuta
Nosenko2013	Oopsacas_m	Oopsacas_minuta
Chang2015	Montastraea_faveolata	Orbicella_faveolata
Philippe2009	Montastraea_faveolata	Orbicella_faveolata
Ryan2013	Montastraea_faveolata	Orbicella_faveolata
Simion2017	Montastraea_faveolata	Orbicella_faveolata
Moroz2014	OCAR	Oscarella_carmela
Moroz2014	Oscarella	Oscarella_carmela
Nosenko2013	Oscarel_ca	Oscarella_carmela
Nosenko2013	Oscarel_lo	Oscarella_lobularis
Nosenko2013	Oscarel_sp	Oscarella_sp
Nosenko2013	Pachydi_gl	Pachydictyum_globosum
Hejnol2009	Paraplanocera_sp	Paraplanocera_oligoglena
Nosenko2013	Pedicel_ce	Pedicellina_cernua
Hejnol2009	Pedicellina_sp	Pedicellina_sp_JB1
Chang2015	Pediculus_humanus_corporis	Pediculus_humanus
Nosenko2013	Pedicul_hu	Pediculus_humanus_capitis
Whelan2017	Periphyla_periphyla	Periphylla_periphylla
Nosenko2013	Petromy_ma	Petromyzon_marinus
Nosenko2013	Phycomy_bl	Phycomyces_blakesleeanus
Simion2017	Physalia_p	Physalia_physalis
Whelan2017	Physalia_physalia	Physalia_physalis
Borowiec2015	Pinctada	Pinctada_fucata
Moroz2014	Piromyces	Piromyces_sp
Moroz2014	PBAC	Pleurobrachia_bachei
Moroz2014	PPIL	Pleurobrachia_pileus
Nosenko2013	Pleurob_pi	Pleurobrachia_pileus
Whelan2015	Pleurobrachia_atlantica	Pleurobrachia_pileus
Moroz2014	PATL	Pleurobrachia_sp
Simion2017	Pleurobrac	Pleurobrachia_sp
Moroz2014	PCAR	Podocoryna_carnea
Moroz2014	Podocoryne	Podocoryna_carnea
Nosenko2013	Podocor_ca	Podocoryna_carnea
Moroz2014	PAST	Porites_astreoides
Moroz2014	Porites	Porites_astreoides
Nosenko2013	Porites	Porites_astreoides
Nosenko2013	Protero_sp	Proterospongia_sp
Ryan2013	Rhizopus_orizae	Rhizopus_oryzae
Simion2017	Rhizopus_o	Rhizopus_oryzae
Borowiec2015	Rhodnius	Rhodnius_prolixus
Simion2017	Rossella_f	Rossella_fibulata
Simion2017	Saccharomy	Saccharomyces
Moroz2014	Saccharomyces	Saccharomyces_cerevisiae
Simion2017	Saccogloss	Saccoglossus_kowaleskii
Borowiec2015	Saccoglossus	Saccoglossus_kowalevskii
Moroz2014	SKOW	Saccoglossus_kowalevskii
Nosenko2013	Saccogl_ko	Saccoglossus_kowalevskii
Simion2017	Salpingoec	Salpingoeca_dolichothecata
Simion2017	Salpingoeca_qvevrii_09	Salpingoeca_kvevrii
Borowiec2015	Salpingoeca	Salpingoeca_rosetta
Moroz2014	SROS	Salpingoeca_rosetta
Chang2015	Salpingoeca_sp._ATCC50818	Salpingoeca_sp
Nosenko2013	Scutige_co	Scutigera_coleoptrata
Chang2015	Sphaeroforma_arctica_jp610	Sphaeroforma_arctica
Moroz2014	Sphaeroforma	Sphaeroforma_arctica
Nosenko2013	Sphaero_ar	Sphaeroforma_arctica
Simion2017	Sphaerofor	Sphaeroforma_arctica
Simion2017	Sphaeroforma_arctica_JP610	Sphaeroforma_arctica
Simion2017	Spizellomy	Spizellomyces
Moroz2014	Spizellomyces	Spizellomyces_punctatus
Nosenko2013	Spizell_pu	Spizellomyces_punctatus
Whelan2015	Spongilla_alba	Spongilla_lacustris
Simion2017	Stephanoeca_diplocostata_AUFR	Stephanoeca_diplocostata
Borowiec2015	Strigamia	Strigamia_maritima
Borowiec2015	Strongylocentrotus	Strongylocentrotus_purpuratus
Moroz2014	SPUR	Strongylocentrotus_purpuratus
Nosenko2013	Strongy_pu	Strongylocentrotus_purpuratus
Simion2017	Strongyloc	Strongylocentrotus_purpuratus
Whelan2017	Strongylocentrotus_purpatus	Strongylocentrotus_purpuratus
Nosenko2013	Suberit_do	Suberites_domuncula
Nosenko2013	Suberit_fu	Suberites_fuscus
Nosenko2013	Sycon_cili	Sycon_ciliatum
Simion2017	Sycon_cili	Sycon_cilliatum
Simion2017	Sycon_coac	Sycon_coactum
Moroz2014	SCOA	Sycon_coactum
Nosenko2013	Sycon_raph	Sycon_raphanus
Borowiec2015	Takifugu	Takifugu_rubripes
Nosenko2013	Tethya_wil	Tethya_wilhelma
Borowiec2015	Tetranychus	Tetranychus_urticae
Borowiec2015	Tribolium	Tribolium_castaneum
Borowiec2015	Trichoplax	Trichoplax_adhaerens
Moroz2014	TADH	Trichoplax_adhaerens
Nosenko2013	Trichop_ad	Trichoplax_adhaerens
Nosenko2013	Trichop_H4	Trichoplax_sp_H4
Nosenko2013	Tubifex_tu	Tubifex_tubifex
Moroz2014	VALL	Vallicula_sp
Borowiec2015	Xenopus	Xenopus_tropicalis
Nosenko2013	Xenotur_bo	Xenoturbella_bocki
