Year	matrix_name	Outgroup	Equilibrium	rate_matrix	site_rate_hetero	Software	Inference	Convergence	Ctenophora-sister	Porifera-sister	Porifera-monophyletic	Porifera+Ctenophora-sister	notes
2017	Whelan2017-Ctenophore	Opisthokonta	NA	PARTITIONFINDER	NA	RAxML v.8.2.4	ML	NA	100	0	76	0	
2017	Whelan2017_Ctenophore_Metazoa_Choano_RCFV_Strict	Choanimalia	CAT	GTR	NA	PhyloBayes MPI	Bayesian	Yes	100	0	100	0	
2017	Whelan2017_Cenophore_Metazoa_Choano_RCFV_Strict	Choanimalia	NA	PARTITIONFINDER	NA	RAxML v.8.2.4	ML	NA	100	0	95	0	
2017	Whelan2015-D20-Choano 	Choanimalia	NA	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Choano 	Choanimalia	CAT	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	20	77	100	NA	
2017	Whelan2015-D20-Choano 	Choanimalia	NA	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	100	0	99	0	
2017	Whelan2015-D20-Choano 	Choanimalia	CAT	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	1	95	99	NA	
2017	Whelan2015-D20-Holo	Holozoa	NA	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Holo	Holozoa	CAT	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	31	68	100	0	
2017	Whelan2015-D20-Holo	Holozoa	NA	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Holo	Holozoa	CAT	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	0	99	100	NA	
2017	Whelan2015-D20-Opistho	Opisthokonta	NA	WAG	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Opistho	Opisthokonta	NA	LG	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Opistho	Opisthokonta	NA	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Opistho	Opisthokonta	CAT	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Opistho	Opisthokonta	NA	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Whelan2015-D20-Opistho	Opisthokonta	CAT	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	0	100	100	0	
2017	Chang2015	Holozoa	NA	WAG	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Chang2015	Holozoa	NA	LG	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Chang2015	Holozoa	NA	GTR	GAMMA	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Chang2015	Holozoa	NA	PARTITIONFINDER	NA	RAxML v.8.2.4	ML	NA	100	0	100	0	
2017	Chang2015	Holozoa	CAT	GTR	GAMMA	PhyloBayes MPI	Bayesian	FALSE	100	0	100	0	
2017	Chang2015	Holozoa	NA	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	100	0	100	0	
2017	Chang2015	Holozoa	CAT	GTR	GAMMA+Dayhoff	PhyloBayes MPI	Bayesian	TRUE	25	74	100	NA	
