study	original_name	new_name
Moroz_2014	OCAR	Oscarella
Borowiec2015	Oikopleura	Okopleura_dioica
Moroz_2014	OMIN	Oopsacas_minuta
Nosenko2013	Oopsacas_m	Oopsacas_minuta
Nosenko2013	Oscarel_ca	Oscarella_carmela
Nosenko2013	Oscarel_lo	Oscarella_lobularis
Nosenko2013	Oscarel_sp	Oscarella_sp
Chang2015	Oscarella_sp_SN-2011	Oscarella_carmela
Nosenko2013	Pachydi_gl	Pachydictyum_globosum
Moroz_2014	PAST	Porites_astreoides
Moroz_2014	PBAC	Pleurobrachia_bachei
Moroz_2014	PCAR	Podocoryne_carnea
Nosenko2013	Pedicel_ce	Pedicellina_cernua
Hejnol2009	Pedicellina_sp	Pedicellina_sp_JB1
Nosenko2013	Pedicul_hu	Pediculus_humanus_capitis
Nosenko2013	Petromy_ma	Petromyzon_marinus
Nosenko2013	Phycomy_bl	Phycomyces_blakesleeanus
Simion2017	Physalia_p	Physalia_physalis
Borowiec2015	Pinctada	Pinctada_fucata
Nosenko2013	Pleurob_pi	Pleurobrachia_pileus
Simion2017	Pleurobrac	Pleurobrachia_sp
Nosenko2013	Podocor_ca	Podocoryne_carnea
Moroz_2014	PPIL	Pleurobrachia_pileus
Nosenko2013	Protero_sp	Proterospongia_sp.
Simion2017	Rhizopus_o	Rhizopus_oryzae
Borowiec2015	Rhodnius	Rhodnius_prolixus
Simion2017	Rossella_f	Rossella_fibulata
Simion2017	Saccharomy	Saccharomyces
Nosenko2013	Saccogl_ko	Saccoglossus_kowalevskii
Simion2017	Saccogloss	Saccoglossus_kowaleskii
Borowiec2015	Saccoglossus	Saccoglossus_kowalevskii
Simion2017	Salpingoec	Salpingoeca_dolichothecata
Borowiec2015	Salpingoeca	Salpingoeca_rosetta
Nosenko2013	Scutige_co	Scutigera_coleoptrata
Moroz_2014	SKOW	Saccoglossus_kowalevskii
Nosenko2013	Sphaero_ar	Sphaeroforma_arctica
Simion2017	Sphaerofor	Sphaeroforma_arctica
Nosenko2013	Spizell_pu	Spizellomyces_punctatus
Simion2017	Spizellomy	Spizellomyces
Moroz_2014	SPUR	Strongylocentrotus_purpuratus
Borowiec2015	Strigamia	Strigamia_maritima
Nosenko2013	Strongy_pu	Strongylocentrotus_purpuratus
Simion2017	Strongyloc	Strongylocentrotus_purpuratus
Borowiec2015	Strongylocentrotus	Strongylocentrotus_purpuratus
Nosenko2013	Suberit_do	Suberites_domuncula
Nosenko2013	Suberit_fu	Suberites_fuscus
Nosenko2013	Sycon_cili	Sycon_ciliatum
Simion2017	Sycon_cili	Sycon_cilliatum
Simion2017	Sycon_coac	Sycon_coactum
Nosenko2013	Sycon_raph	Sycon_raphanus
Moroz_2014	TADH	Trichoplax_adhaerans
Borowiec2015	Takifugu	Takifugu_rubripes
Nosenko2013	Tethya_wil	Tethya_wilhelma
Borowiec2015	Tetranychus	Tetranychus_urticae
Borowiec2015	Tribolium	Tribolium_castaneum
Nosenko2013	Trichop_ad	Trichoplax_adhaerens
Nosenko2013	Trichop_H4	Trichoplax_H4
Borowiec2015	Trichoplax	Trichoplax_adhaerens
Nosenko2013	Tubifex_tu	Tubifex_tubifex
Borowiec2015	Xenopus	Xenopus_tropicalis
Nosenko2013	Xenotur_bo	Xenoturbella_bocki
