Theionarchaea-archaeon-DG-70
Theionarchaea-archaeon-DG-70-1
Hadesarchaea-archaeon-YNP-N21
Hadesarchaea-YNP-45
Candidatus-Huberarchaea-crystalense
Candidatus-Altiarchaeales-ex4484-2
MCG-1
MCG-6
Cenarchaeum-symbiosum-A
MCG-15
Acidiplasma-aeolicum
Ferroplasma-acidarmanus-fer1
Thermoplasma-volcanium
Thermoplasmatales-archaeon-B-DKE
Picrophilus-torridus
Archaeoglobus-fulgidus-DSM-4304
Methanococcoides-methylutens
Methanohalophilus-mahii
Methanomethylicus-mesodigestum-V2
Nitrosopumilus-limnia
Staphylothermus-marinus
Thorarchaeota-AB25
archaeon-GW2011-AR15
ANME-2-cluster-archaeon-HR1
Caldivirga-maquilingensis
Candidatus-Bathyarchaeota-archaeon-BA2
Candidatus-Nanosalinarum-J07AB56
Hyperthermus-butylicus
Ignicoccus-hospitalis
Methanosphaera-WGK6
Methanosphaera-cuniculi
Methanosphaera-stadtmanae
Methanothermus-fervidus
Methanotorris-formicicus
TheionArchaea-archaeon-DG-70
TheionArchaea-archaeon-DG-70-1
archaeon-GW2011-AR1
Candidatus-Nanopetramus-SG9
Heimdallarchaeota-LC2
MSBL1-archaeon-SCGC-AAA259E19
Methanocella-arvoryzae-Rice-Cluster-I
Methanocella-paludicola-SANAE
Methanocorpusculum-labreanum
Methanocorpusculum-parvum
Methanospirillum-hungatei
Methanothrix-soehngenii
Methanothrix-thermoacetophila-PT
Methermicoccus-shengliensis
Nanoarchaeum-equitans
Candidatus-Methanoperedens-nitroreducens-ANME-2d
Heimdallarchaeota-LC3
Methanobacterium-42-16
Methanobacterium-bryantii
Methanobacterium-formicicum
Methanobacterium-subterraneum
Methanobrevibacter-arboriphilus
Methanobrevibacter-cuticularis
Methanobrevibacter-filiformis
Methanobrevibacter-oralis-JMR01
Methanobrevibacter-ruminantium
Methanobrevibacter-smithii
Methanosarcinales-archaeon-ex4572-44-GoM-Arcl
Methanothermobacter-thermautotrophicus
Candidatus-Micrarchaeum-acidiphilum-ARMAN-2
Candidatus-Caldiarchaeum-subterraneum
Candidatus-Nitrocosmicus-oleophilus
Candidatus-Nitrosocaldus-islandicus
Candidatus-Nitrosomarinus-catalina
Candidatus-Nitrososphaera-gargensis
Crenarchaeon-YNPFFA
Ignisphaera-aggregans-DSM-17230
Marine-Group-I-thaumarchaeote-SCGC-RSA3
Nitrosopumilus-koreensis
Nitrosopumilus-maritimus-SCM1
Sulfolobus-solfataricus
Thaumarchaeota-Fn1
Thermofilum-pendens
Archaeoglobus-sulfaticallidus
CG-SM1-Alt-1-Candidatus-Altiarchaeum-hamiconexum
Candidatus-Altiarchaeum-CG-4-9-14-0-8-um-filter-32-206
Candidatus-HuberArchaea-crystalense
Candidatus-Micrarchaeota-archaeon-Mia14
Candidatus-Syntrophoarchaeum-caldarius-ANME-2-GoM-Arch87-2
Geothermarchaeota-ex4572-27
MSI-SMI-Alt-1-Candidatus-Altiarchaeum-hamiconexum
Methanonatronarchaeum-thermophilum
Methanosuratus-petracarbonis-V4
Pyrobaculum-aerophilum-IM2
Candidatus-Micrarchaeota-archaeon-A-DKE
Methanobrevibacter-millerae
Odinarchaeota-LCB4
HadesArchaea-YNP-45
HadesArchaea-archaeon-YNP-N21
Methanoculleus-bourgensis
Methanococcus-maripaludis
Arc-I-group-archaeon-U1lsi0528-Bin055
archaeon-GW2011-AR10-Diapherotrites-archaeon-AR10
Candidatus-Nanobsidianus-stetteri
Candidatus-Nanosalina
Halobacterium-salinarum-NRC-1
Candidatus-Aenigmarchaeota-CG-4-10-14-3-um-filter-37-21
Candidatus-Aenigmarchaeota-archaeon-CG01-land-8-20-14-3-00-37-9
Lokiarchaeum-mirabilis
Marine-Group-III-euryarchaeote-CG-Epi2
archaeon-GW2011-AR20
Haloarcula-marismortui
Candidatus-Iainarchaeum-andersonii
Aciduliprofundum-boonei-T469
Candidatus-Methanomassiliicoccus-intestinalis
Candidatus-Methanoplasma-termitum
Haloferax-volcanii
Halomicrobium-mukohataei
Methanomassiliicoccus-luminyensis
Methanosarcina-acetivorans
Methanosarcina-mazei
Natronobacterium-gregoryi-SP2
Natronococcus-amylolyticus
Pyrococcus-abyssi
Pyrococcus-furiosus
Pyrococcus-horikoshii
Thermococcus-kodakarensis
